Id_day;Period;BE;DE;FR;NL;RAM_0
2;3;0;-1;0;0;4400
2;3;-0.02985;-0.00557;-0.01662;-0.14473;529.479
2;3;-0.16557;0.00251;-0.08673;-0.25102;885.33825
2;3;0.06051;0.02841;0.01498;0.09323;145.3795
2;3;0.07613;-0.00203;-0.02159;0.02466;342.33275
2;3;0.00242;0.04945;-0.00993;0.05727;115.8045
2;3;-0.12767;0.0044;-0.07197;-0.22571;827.75275
2;3;0.18165;0.00233;0.25543;0.05818;1023.60375
2;3;0.16235;0.0046;0.10821;-0.13788;1001.562
2;3;0.17903;-0.00629;-0.14301;0.08867;939.626
2;3;-0.01676;0.03106;-0.02576;0.03442;122.916
2;3;0.21188;0.00553;0.12109;-0.14636;1127.79725
2;3;-0.15325;0.00246;-0.08405;-0.23619;832.96625
2;3;-0.27752;-0.01973;-0.11815;-0.27385;1182.353
2;3;0.09283;0.04465;0.0473;0.11242;129.30575
2;3;0;0;1;0;3734
2;3;0;0;-1;0;4266
2;3;-0.00299;-0.00546;-0.12217;0.07822;379.908
2;3;0.11885;0.05347;0.06732;0.13084;152.06575
2;4;0.06607;-0.0052;0.03847;0.21482;662.4995
2;4;0;-1;0;0;4824
2;4;0.00067;0.04397;-0.01061;0.05051;104.8365
2;4;0.21188;0.00553;0.12103;-0.14939;1102.873
2;4;0.17903;-0.00629;-0.14285;0.0902;960.58775
2;4;0.09283;0.04465;0.04729;0.11296;130.29225
2;4;0;0;1;0;4502
2;4;0;0;0;-1;4250
2;4;-0.27752;-0.01973;-0.1181;-0.27895;1140.4805
2;4;0.00242;0.04945;-0.00994;0.05545;111.85
2;4;-0.01676;0.03106;-0.02578;0.03267;106.95975
2;4;-1;0;0;0;4500
2;4;-0.00299;-0.00546;-0.12195;0.07958;388.874
2;4;0.07613;-0.00203;-0.02164;0.02502;346.32375
2;4;0.18165;0.00233;0.25571;0.05929;1059.576
2;4;-0.16557;0.00251;-0.08672;-0.25274;879.38125
2;4;-0.10335;0.0035;-0.05791;0.28722;808.907
2;4;-0.28015;-0.00832;-0.12762;0.02967;1000.05025
2;4;-0.07613;0.00203;0.02164;-0.02502;465.67625
2;4;0.06051;0.02841;0.01496;0.0933;145.37775
2;4;0.16235;0.0046;0.10813;-0.14081;976.63525
2;4;0.11885;0.05347;0.06732;0.13182;154.04125
2;4;0;0;-1;0;3498
2;4;-0.15325;0.00246;-0.08404;-0.2377;831.004
2;5;-0.28015;-0.00832;-0.12775;0.02997;972.04275
2;5;-1;0;0;0;4500
2;5;0;-1;0;0;6000
2;5;-0.27752;-0.01973;-0.11815;-0.2744;1153.36675
2;5;0.14703;0.05417;0.14974;0.09419;451.9995
2;5;0;0;-1;0;2301
2;5;0.21188;0.00553;0.12101;-0.14656;1137.80225
2;5;0.18165;0.00233;0.25539;0.05827;1163.6015
2;5;0.00242;0.04945;-0.00993;0.05709;114.809
2;5;0.16235;0.0046;0.10805;-0.13807;1006.56675
2;5;-0.00299;-0.00546;-0.12162;0.07833;373.90525
2;5;-0.10335;0.0035;-0.05789;0.27556;785.1985
2;5;0.11885;0.05347;0.06731;0.13095;153.063
2;5;-0.16557;0.00251;-0.08672;-0.25129;920.345
2;5;-0.15325;0.00246;-0.08404;-0.23644;875.9725
2;5;-0.07613;0.00203;0.02168;-0.0247;465.66825
2;5;0.17903;-0.00629;-0.14239;0.08879;952.623
2;5;0.00067;0.04397;-0.01059;0.05205;107.798
2;5;0.07613;-0.00203;-0.02168;0.0247;346.33175
2;5;-0.06607;0.0052;-0.03846;-0.22246;870.6915
2;5;0.06051;0.02841;0.01497;0.09324;145.37925
2;5;0;0;0;-1;4250
2;5;0;0;1;0;5735
2;5;0.09283;0.04465;0.04729;0.11249;129.304
2;6;0;0;0;-1;4250
2;6;-0.10335;0.0035;-0.05799;0.28722;808.907
2;6;0;-1;0;0;5043
2;6;0.09283;0.04465;0.04738;0.11296;130.29225
2;6;0.13597;0.06508;0.13782;0.08843;306.41625
2;6;0.02397;0.04216;0.00816;0.05872;88.586
2;6;0.10449;0.03423;0.05764;0.10736;181.17175
2;6;-0.16557;0.00251;-0.08687;-0.25274;877.38125
2;6;-0.0161;0.03118;-0.02309;0.03011;93.02675
2;6;0.00067;0.04397;-0.01056;0.05051;104.8365
2;6;-1;0;0;0;4500
2;6;-0.15325;0.00246;-0.08417;-0.2377;833.004
2;6;-0.00299;-0.00546;-0.1221;0.07958;437.874
2;6;0.16235;0.0046;0.10833;-0.14081;961.63525
2;6;-0.01676;0.03106;-0.02573;0.03267;98.95975
2;6;0.11885;0.05347;0.0674;0.13182;154.04125
2;6;0.06607;-0.0052;0.03851;0.21482;615.4995
2;6;0;0;-1;0;3745
2;6;0.07613;-0.00203;-0.02161;0.02502;330.32375
2;6;-0.02398;0.03289;-0.02888;0.02765;109.131
2;6;0.17903;-0.00629;-0.14285;0.0902;1047.58775
2;6;0.14703;0.05417;0.14958;0.09499;410.9795
2;6;0.21188;0.00553;0.12128;-0.14939;1087.873
2;6;-0.01425;0.02105;-0.01985;0.02353;74.938
2;6;0.07501;0.03762;0.03421;0.09714;117.512
2;6;-0.01267;0.0327;-0.02025;0.0329;89.995
2;6;-0.27752;-0.01973;-0.11846;-0.27895;1108.4805
2;6;-0.28015;-0.00832;-0.12794;0.02967;1012.05025
2;6;0;0;1;0;4255
2;7;0;-1;0;0;5147
2;7;0.11835;0.05442;0.06683;0.1319;152.063
2;7;-0.01162;0.03138;-0.01944;0.03331;89.95175
2;7;-0.02209;0.03132;-0.02737;0.02835;102.07425
